assetName,siteName,contactEmail,manufacturer,model,serialNumber,assetType,size,installDate,expectedLifetime,status,refrigerantType,notes
SMA Central Inverter 2500kW,Arizona Solar Farm - West Array,david.anderson@solarfarm.com,SMA,Sunny Central 2500,SN-SMA-001,Solar Inverter,2.5 MW,2022-06-15,15,Active,N/A,"Central inverter for west array, 99.1% efficiency, O&M contract."
NEXTracker Single-Axis Tracker,Arizona Solar Farm - West Array,david.anderson@solarfarm.com,NEXTracker,NX Horizon,SN-NEX-001,Solar Tracker,25 MW,2022-06-15,25,Active,N/A,"Single-axis tracker, GPS-based positioning, monthly calibration."
LONGi 500W Bifacial Panels,Arizona Solar Farm - West Array,david.anderson@solarfarm.com,LONGi,Hi-MO 5,SN-LON-001,Solar Panel,500W (x50000),2022-06-15,30,Active,N/A,"50,000 bifacial panels, 25-year performance warranty, annual cleaning contract."
SMA Central Inverter 2500kW #2,Arizona Solar Farm - East Array,david.anderson@solarfarm.com,SMA,Sunny Central 2500,SN-SMA-002,Solar Inverter,2.5 MW,2022-06-15,15,Active,N/A,"Central inverter for east array, 99.1% efficiency, O&M contract."
Rinnai Tankless Water Heater,Thomas Residence - Primary,lisa.thomas@email.com,Rinnai,RUR199iN,SN-RIN-001,Water Heater,199k BTU,2018-04-10,20,Active,N/A,"Tankless water heater, emergency repair needed for ignition issue."
Carrier 3.5-Ton AC,Thomas Residence - Primary,lisa.thomas@email.com,Carrier,24ACB3,SN-CAR-006,Air Conditioner,3.5 tons,2015-07-20,20,Active,R-410A,"Standard residential AC, good condition, annual PM."
Zurn Grease Interceptor 1000-Gal,Jackson's Steakhouse - Kitchen,james.jackson@restaurant.com,Zurn,GT2700-1000,SN-ZUR-001,Grease Interceptor,1000 gallons,2010-05-15,30,Active,N/A,"Kitchen grease interceptor, quarterly pumping required, health dept inspections."
Watts Backflow Preventer RP,Jackson's Steakhouse - Kitchen,james.jackson@restaurant.com,Watts,909,SN-WAT-001,Backflow Preventer,2 inch,2010-05-15,15,Active,N/A,"Reduced pressure backflow preventer, annual testing required by water utility."
Rheem 120-Gal Commercial Water Heater,Jackson's Steakhouse - Kitchen,james.jackson@restaurant.com,Rheem,G120-200,SN-RHE-003,Water Heater,120 gallons,2015-08-10,15,Active,N/A,"Commercial gas water heater, restaurant use, annual maintenance."
BeaconMedaes Medical Air Compressor,Phoenix General Hospital - Main Building,mary.white@hospital.com,BeaconMedaes,Genesis AirCube,SN-BEA-001,Medical Gas System,250 CFM,2000-03-20,30,Active,N/A,"Medical air compressor, NFPA 99 compliance, quarterly PM, backup compressor available."
BeaconMedaes Vacuum Pump,Phoenix General Hospital - Main Building,mary.white@hospital.com,BeaconMedaes,Genesis VacCube,SN-BEA-002,Medical Gas System,150 CFM,2000-03-20,30,Active,N/A,"Medical vacuum pump, NFPA 99 compliance, quarterly PM, duplex system."
Watts Backflow Preventer RP #1,Phoenix General Hospital - Main Building,mary.white@hospital.com,Watts,909,SN-WAT-002,Backflow Preventer,4 inch,2000-03-20,15,Active,N/A,"Main building backflow, ASSE 6010 testing required, hospital water supply protection."
Tesla Powerwall 2,Harris Residence - Primary,chris.harris@email.com,Tesla,Powerwall 2,SN-TES-001,Battery Storage,13.5 kWh,2023-09-15,10,Active,N/A,"Home battery storage for solar + backup power, Tesla app monitoring."
SolarEdge 7.6kW Inverter,Harris Residence - Primary,chris.harris@email.com,SolarEdge,SE7600H,SN-SOL-001,Solar Inverter,7.6 kW,2023-09-15,12,Active,N/A,"Solar inverter with rapid shutdown, monitoring portal active."
Trane Chiller 200-Ton,Downtown Office Tower - Floors 1-8,patricia.martin@officetower.com,Trane,CGAM200,SN-TRA-006,Chiller,200 tons,2005-04-10,25,Active,R-134a,"Central chiller plant, serves lower floors, annual vibration analysis."
Trane Cooling Tower,Downtown Office Tower - Floors 1-8,patricia.martin@officetower.com,Trane,TYS200,SN-TRA-007,Cooling Tower,200 tons,2005-04-10,20,Active,N/A,"Cooling tower for chiller, quarterly water treatment, annual cleaning."
Daikin VRF Outdoor Unit,Downtown Office Tower - Floors 9-15,patricia.martin@officetower.com,Daikin,RXYQ72,SN-DAI-003,VRF Outdoor Unit,20 HP,2015-09-20,20,Active,R-410A,"VRF system for executive floors, zoning control via BAS."
Philips LED High-Bay Fixtures,Thompson Logistics - Warehouse A,daniel.thompson@warehouse.com,Philips,GreenWarehouse,SN-PHI-001,Lighting,400W (x200),2010-06-15,15,Active,N/A,"200 high-bay LED fixtures, retrofit from metal halide, 60% energy savings."
Square D Switchgear 4000A,Thompson Logistics - Warehouse A,daniel.thompson@warehouse.com,Square D,PowerPact,SN-SQU-001,Switchgear,4000A,2010-06-15,30,Active,N/A,"Main switchgear, arc flash study completed 2023, NFPA 70E labels applied."
Heatcraft Refrigeration System,Thompson Logistics - Warehouse B,daniel.thompson@warehouse.com,Heatcraft,Beacon II,SN-HEA-001,Refrigeration,50 tons,2015-03-10,20,Active,R-404A,"Cold storage refrigeration, -10°F setpoint, monthly defrost cycle check."
Enphase IQ8+ Microinverters,Garcia Residence - Primary,nancy.garcia@email.com,Enphase,IQ8PLUS,SN-ENP-001,Solar Inverter,8kW (x24),2023-07-10,25,Active,N/A,"24 microinverters for 24-panel solar system, Enphase monitoring app."
LONGi 335W Solar Panels,Garcia Residence - Primary,nancy.garcia@email.com,LONGi,LR4-72HPH,SN-LON-002,Solar Panel,335W (x24),2023-07-10,25,Active,N/A,"24 solar panels, 8kW system, south-facing roof, 25-year warranty."
SMA 300kW Central Inverter,Retail Chain Store #42 - Main,matthew.martinez@retailchain.com,SMA,Sunny Central 300,SN-SMA-003,Solar Inverter,300 kW,2020-05-15,15,Active,N/A,"Rooftop solar inverter, PPA agreement, net metering active."
Canadian Solar 400W Panels,Retail Chain Store #42 - Main,matthew.martinez@retailchain.com,Canadian Solar,HiKu,SN-CAN-001,Solar Panel,400W (x750),2020-05-15,25,Active,N/A,"750 panels, 300kW rooftop system, PPA with utility demand charge reduction."
SMA 1000kW Central Inverter,Robinson Industrial Solar - Production,karen.robinson@manufacturing.com,SMA,Sunny Central 1000,SN-SMA-004,Solar Inverter,1 MW,2021-08-20,15,Active,N/A,"Central inverter for 2MW system, 99.2% efficiency, MACRS depreciation."
Tesla Megapack 3MWh,Robinson Industrial Solar - Warehouse,karen.robinson@manufacturing.com,Tesla,Megapack,SN-TES-002,Battery Storage,3 MWh,2021-08-20,15,Active,N/A,"Commercial battery storage, peak shaving, demand response program enrolled."
GAF Timberline HDZ Shingles,Clark Residence - Primary,joseph.clark@email.com,GAF,Timberline HDZ,SN-GAF-001,Roofing,3200 sq ft,2024-01-15,30,Active,N/A,"Architectural shingles, insurance claim replacement, 30-year warranty."
Firestone TPO Membrane,Sunnyvale Apartments - Buildings 1-6,susan.rodriguez@apartments.com,Firestone,UltraPly TPO,SN-FIR-001,Roofing,48000 sq ft,2024-02-10,20,Active,N/A,"TPO flat roof membrane, 10-year NDL warranty, annual inspections required."
Firestone TPO Membrane #2,Sunnyvale Apartments - Buildings 7-12,susan.rodriguez@apartments.com,Firestone,UltraPly TPO,SN-FIR-002,Roofing,48000 sq ft,2024-02-10,20,Active,N/A,"TPO flat roof membrane, 10-year NDL warranty, annual inspections required."
Viking VK305 Fire Sprinkler Heads,Phoenix Elementary School - Main Building,jason.lewis@school.edu,Viking,VK305,SN-VIK-001,Fire Sprinkler,35000 sq ft,1985-06-20,50,Active,N/A,"Original fire sprinkler system, NFPA 25 quarterly inspections, upgrade planned."
Potter PFC-4410RC Flow Switch,Phoenix Elementary School - Main Building,jason.lewis@school.edu,Potter,PFC-4410RC,SN-POT-001,Fire Alarm,N/A,2010-03-15,20,Active,N/A,"Fire alarm flow switch, UL/FM listed, annual testing."
Reliable G5-56 Fire Sprinkler Heads,Phoenix Medical Center - Patient Tower,ashley.lee@hospital.com,Reliable,G5-56,SN-REL-001,Fire Sprinkler,180000 sq ft,2010-05-20,50,Active,N/A,"Hospital fire sprinkler system, NFPA 25 weekly/monthly/quarterly inspections, Joint Commission."
Kidde Clean Agent System,Phoenix Medical Center - Surgery Wing,ashley.lee@hospital.com,Kidde,FM-200,SN-KID-001,Clean Agent Suppression,N/A,2010-05-20,30,Active,N/A,"FM-200 clean agent system for surgery wing, no water damage risk, annual testing."
Siemens Fire Alarm Panel,Phoenix Medical Center - Patient Tower,ashley.lee@hospital.com,Siemens,MXL-V,SN-SIE-001,Fire Alarm,N/A,2010-05-20,20,Active,N/A,"Hospital fire alarm panel, central station monitoring, UL/FM approved."
