documentType,documentNumber,contactEmail,siteName,issueDate,dueDate,status,subtotal,tax,total,paymentTerms,description,lineItems
Invoice,INV-237,matthew.martinez@retailchain.com,Retail Chain Store #42 - Main,2024-08-31,2024-09-30,Paid,275229.36,24770.64,300000.00,Net 30,"300kW rooftop solar install - PPA agreement","Canadian Solar 400W Panels (750): $150000 | SMA 300kW Central Inverter: $35000 | Racking System (rooftop ballasted): $22000 | Electrical (disconnect combiner): $8000 | Structural Engineering: $3000 | Permit & Interconnection Study: $5000 | Labor (80 hours @ $200/hr): $16000 | Net Metering Setup: $1000 | Commissioning & Testing: $2500 | PPA Documentation: $1500 | Monitoring System: $1000 | 25-Year O&M Included: $30229.36"
Invoice,INV-238,karen.robinson@manufacturing.com,Robinson Industrial Solar - Warehouse,2025-02-28,2025-03-30,Scheduled,1100917.43,99082.57,1200000.00,Net 30,"3MWh Tesla Megapack battery storage install","Tesla Megapack 3MWh: $850000 | Inverter & Power Electronics: $80000 | Electrical (switchgear transformers): $45000 | Concrete Pad & Foundation: $15000 | Fire Suppression (NFPA 855): $25000 | Utility Interconnection Study: $8000 | UL 9540A Fire Testing: $5000 | Structural Engineering: $4000 | Permit & AHJ Approval: $3000 | Labor (120 hours @ $200/hr): $24000 | Commissioning & Testing: $5000 | SCADA Integration: $6000 | Peak Shaving Programming: $3000 | 15-Year Warranty: $28917.43"
Invoice,INV-239,joseph.clark@email.com,Clark Residence - Primary,2024-12-05,2024-12-20,Paid,11009.17,990.83,12000.00,Net 15,"Insurance claim roof replacement - GAF Timberline HDZ","Tear-Off Old Tile Roof (3200 sq ft @ $1.50/sq ft): $4800 | Ice & Water Shield: $800 | GAF Timberline HDZ Shingles (3200 sq ft @ $1.25/sq ft): $4000 | Ridge Vent: $400 | Flashing & Underlayment: $600 | Labor (16 hours @ $150/hr): $2400 | Permit: $150 | Disposal & Cleanup: $300 | 30-Year Warranty Registration: $559.17"
Invoice,INV-240,susan.rodriguez@apartments.com,Sunnyvale Apartments - Buildings 1-6,2024-10-31,2024-11-30,Paid,73394.50,6605.50,80000.00,Net 30,"TPO flat roof membrane - 48000 sq ft","Firestone UltraPly TPO Membrane (48000 sq ft @ $0.90/sq ft): $43200 | Insulation Board (R-30): $9600 | Edge Metal & Coping: $3200 | Roof Drains (8): $1600 | Labor (80 hours @ $150/hr): $12000 | Permit: $500 | Disposal of Old Membrane: $1200 | 10-Year NDL Warranty: $2094.50"
Invoice,INV-241,jason.lewis@school.edu,Phoenix Elementary School - Main Building,2024-09-30,2024-10-30,Paid,7339.45,660.55,8000.00,Net 30,"NFPA 25 quarterly inspection - fire sprinkler","Flow Switch Test: $400 | Sprinkler Head Inspection (350 heads @ $2 each): $700 | Valve Tamper Switch Test (10 valves): $300 | Main Drain Test: $200 | Fire Pump Monthly Test: $150 | Inspector's Test Connection: $200 | Gauge Verification: $150 | Fire Marshal Report: $300 | Annual Hydrostatic Test (pro-rated): $1000 | NFPA 25 Compliance Documentation: $3939.45"
Quote,QUO-105,emily.davis@retailplaza.com,Downtown Retail Plaza - South,2024-12-21,2025-01-20,Pending,27522.94,2477.06,30000.00,Net 30,"York RTU replacement - food court humidity control","York 15-Ton RTU (humidity control package): $16000 | Rigging & Crane: $2500 | Electrical: $1500 | Gas Piping: $1000 | Ductwork Modifications: $1200 | Controls (BAS integration): $800 | Permit: $250 | Labor (20 hours @ $150/hr): $3000 | Disposal: $250 | After-Hours Install: $1022.94"
Quote,QUO-106,robert.wilson@manufacturing.com,Wilson Manufacturing - Office,2024-12-22,2025-01-21,Pending,9174.31,825.69,10000.00,Net 30,"Trane RTU replacement - office building","Trane 7.5-Ton RTU: $6500 | Rigging: $800 | Electrical: $600 | Gas Piping: $400 | Controls: $500 | Permit: $150 | Labor (12 hours @ $150/hr): $1800 | Disposal: $100 | Standard Install: $324.31"
Invoice,INV-242,jennifer.taylor@datacenter.com,Phoenix Data Center - Server Room B,2024-11-30,2024-12-30,Paid,27522.94,2477.06,30000.00,Net 30,"Cummins generator fuel system service + annual inspection","Fuel Filter Replacement: $400 | Fuel Quality Test & Polishing: $1200 | Day Tank Cleaning: $600 | Transfer Pump Inspection: $300 | Annual Load Bank Test (500kW @ 100% for 2 hours): $3000 | Engine Oil Change (synthetic): $800 | Coolant System Flush: $600 | Battery Load Test: $200 | ATS Testing: $400 | Exhaust System Inspection: $300 | Governor Calibration: $400 | Tier III Uptime SLA Contract (monthly pro-rated): $15000 | Preventive Maintenance Checklist: $4322.94"
Invoice,INV-243,mary.white@hospital.com,Phoenix General Hospital - Main Building,2024-12-01,2024-12-31,Pending,18348.62,1651.38,20000.00,Net 30,"Medical gas system quarterly PM - NFPA 99","Medical Air Compressor PM (BeaconMedaes): $2500 | Vacuum Pump PM (duplex system): $2500 | Oxygen Manifold Inspection: $1500 | Nitrous Oxide System Check: $1000 | Alarm Panel Testing: $800 | Pressure Regulator Calibration: $1200 | Piping System Inspection: $1500 | NFPA 99 Compliance Documentation: $1000 | ASSE 6010 Certified Technician Premium: $1500 | Emergency On-Call (quarterly): $5000 | Mission-Critical Healthcare SLA: $848.62"
Quote,QUO-107,daniel.thompson@warehouse.com,Thompson Logistics - Warehouse B,2024-12-21,2025-01-20,Pending,91743.12,8256.88,100000.00,Net 30,"Heatcraft refrigeration system repair - cold storage","Compressor Replacement (50-ton screw compressor): $35000 | Evaporator Coil Inspection & Cleaning: $3000 | Condenser Coil Replacement: $8000 | Refrigerant Recovery & Recharge (R-404A 400 lbs @ $25/lb): $10000 | Electrical (VFD controls): $4000 | Piping Modifications: $5000 | Defrost System Upgrade: $3000 | Temperature Controls Recalibration: $2000 | Leak Detection & Repair: $1500 | Labor (40 hours @ $200/hr): $8000 | Emergency Service (after-hours): $5000 | IIAR Compliance Testing: $2000 | Startup & Commissioning: $5243.12"
Invoice,INV-244,ashley.lee@hospital.com,Phoenix Medical Center - Patient Tower,2024-11-30,2024-12-30,Pending,45871.56,4128.44,50000.00,Net 30,"Fire alarm + sprinkler NFPA 25 annual inspection","Fire Alarm Acceptance Test (Siemens MXL-V): $5000 | Sprinkler System Inspection (180000 sq ft): $8000 | Fire Pump Annual Flow Test: $3000 | Standpipe Hydrostatic Test: $2500 | Backflow Preventer Test (fire): $800 | Emergency Lighting Test (90-min): $2000 | Exit Sign Inspection: $1000 | Fire Extinguisher Annual Inspection (200 units @ $25 each): $5000 | Fire Door Inspection (150 doors @ $50 each): $7500 | Fire Damper Test (50 dampers @ $100 each): $5000 | Joint Commission Compliance Report: $3000 | NFPA 72 Central Station Monitoring (annual): $2000 | Hospital Life Safety Code Compliance: $1071.56"
Quote,QUO-108,david.anderson@solarfarm.com,Arizona Solar Farm - East Array,2025-01-15,2025-02-14,Pending,183486.24,16513.76,200000.00,Net 30,"SMA central inverter replacement - 2.5MW","SMA Sunny Central 2500 Inverter: $110000 | Rigging & Transportation: $8000 | Electrical (AC/DC disconnect switchgear): $15000 | Civil (concrete pad equipment pad): $5000 | SCADA Integration & Programming: $8000 | Commissioning & Testing: $5000 | Production Verification: $2000 | Utility Interconnection Notification: $1000 | Labor (60 hours @ $200/hr): $12000 | O&M Contract (1-year included): $15000 | 15-Year Warranty: $2486.24"
Quote,QUO-109,patricia.martin@officetower.com,Downtown Office Tower - Floors 9-15,2025-01-20,2025-02-19,Pending,458715.60,41284.40,500000.00,Net 30,"Daikin VRF system expansion - executive floors","Daikin VRV IV Outdoor Units (4 @ $25000 each): $100000 | Indoor VRV Units (40 zones @ $1500 each): $60000 | Refrigerant Piping (copper line sets): $35000 | Electrical (VRF power distribution): $25000 | Controls (BAS integration Daikin iTM): $15000 | Condensate Piping: $8000 | Ductwork Modifications: $20000 | Structural Support (outdoor units): $5000 | Engineering & Design: $10000 | Permit: $2000 | Labor (200 hours @ $200/hr): $40000 | Commissioning (TAB FPT): $8000 | Training for Building Manager: $2000 | 10-Year Extended Warranty: $5000 | After-Hours Install (occupied building): $123715.60"
Invoice,INV-245,mike.johnson@commercialbldg.com,Johnson Office Building - Annex,2024-09-30,2024-10-30,Paid,110091.74,9908.26,120000.00,Net 30,"Trane RTU install + startup - annex building","Trane YCD090 RTU (7.5-ton x2): $26000 | Rigging & Crane: $3000 | Electrical (economizer VFD): $6000 | Gas Piping: $3000 | Ductwork: $8000 | Controls (BAS Tridium integration): $10000 | Structural Support (curb adapters): $2000 | Permit: $500 | Labor (40 hours @ $200/hr): $8000 | TAB Report (AABC certified): $5000 | Commissioning (ASHRAE Guideline 0): $6000 | Training for Building Manager: $1500 | 10-Year Parts Warranty: $2000 | 2-Year Labor Warranty: $1000 | Manufacturer's Rep Startup: $28091.74"
Invoice,INV-246,susan.rodriguez@apartments.com,Sunnyvale Apartments - Buildings 7-12,2025-03-31,2025-04-30,Scheduled,73394.50,6605.50,80000.00,Net 30,"TPO flat roof membrane - 48000 sq ft (Buildings 7-12)","Firestone UltraPly TPO Membrane (48000 sq ft @ $0.90/sq ft): $43200 | Insulation Board (R-30): $9600 | Edge Metal & Coping: $3200 | Roof Drains (8): $1600 | Labor (80 hours @ $150/hr): $12000 | Permit: $500 | Disposal of Old Membrane: $1200 | 10-Year NDL Warranty: $2094.50"
